company,domain,sector,backing_firms,prior_hq,prior_note
Intercom,intercom.com,SaaS,"Index, Kleiner Perkins, Bessemer",San Francisco CA,
Webflow,webflow.com,SaaS,"Accel",San Francisco CA,
Lattice,lattice.com,SaaS,"Khosla, Index Ventures, Founders Fund",San Francisco CA,
Handshake,joinhandshake.com,SaaS,"Kleiner Perkins",San Francisco CA,
Guild Education,guild.com,SaaS,"General Catalyst, Bessemer, Redpoint",Denver CO,
OneTrust,onetrust.com,SaaS,"Insight Partners",Atlanta GA,
ServiceTitan,servicetitan.com,SaaS,"Bessemer, Index, Battery",Glendale CA,Public 2024
Benchling,benchling.com,SaaS,"Benchmark, Andreessen Horowitz, Sequoia",San Francisco CA,
Asana,asana.com,SaaS,"Benchmark, Founders Fund",San Francisco CA,Public
Grammarly,grammarly.com,SaaS,"General Catalyst, IVP",San Francisco CA,verify B2B
Abridge,abridge.com,SaaS,"Lightspeed, Redpoint, IVP, Bessemer, General Catalyst, Khosla",Pittsburgh PA,
Gusto,gusto.com,SaaS,"General Catalyst, Kleiner Perkins",San Francisco CA,
Justworks,justworks.com,SaaS,"Index Ventures, Redpoint",New York NY,
Checkr,checkr.com,SaaS,"Andreessen Horowitz, Accel, IVP",San Francisco CA,
Ramp,ramp.com,Fintech,"Founders Fund, Andreessen Horowitz, Khosla, General Catalyst",New York NY,
Brex,brex.com,Fintech,"Kleiner Perkins",San Francisco CA,
Mercury,mercury.com,Fintech,"Andreessen Horowitz",San Francisco CA,
Plaid,plaid.com,Fintech,"Andreessen Horowitz, Index, Kleiner Perkins, NEA",San Francisco CA,
Modern Treasury,moderntreasury.com,Fintech,"Andreessen Horowitz, Benchmark",San Francisco CA,
Melio,meliopayments.com,Fintech,"Accel, General Catalyst, Bessemer",New York NY,verify US HQ
Navan,navan.com,Fintech,"Andreessen Horowitz, Lightspeed",Palo Alto CA,
Carta,carta.com,Fintech,"Andreessen Horowitz, Union Square Ventures, Lightspeed",San Francisco CA,
Addepar,addepar.com,Fintech,"Founders Fund",Mountain View CA,verify backing
Altruist,altruist.com,Fintech,"Insight Partners",Los Angeles CA,
MX Technologies,mx.com,Fintech,"Battery Ventures, NEA",Lehi UT,
Alloy,alloy.com,Fintech,"Lightspeed, Bessemer",New York NY,
Persona,withpersona.com,Fintech,"Index Ventures, Founders Fund",San Francisco CA,
Socure,socure.com,Fintech,"Accel",Incline Village NV,
Lithic,lithic.com,Fintech,"Index Ventures, Bessemer",New York NY,
Sift,sift.com,Fintech,"Insight Partners, Union Square Ventures",San Francisco CA,
Forter,forter.com,Fintech,"Bessemer, Sequoia",New York NY,
Signifyd,signifyd.com,Fintech,"IVP",San Jose CA,
Unit21,unit21.ai,Fintech,"Andreessen Horowitz",San Francisco CA,
Sardine,sardine.ai,Fintech,"Andreessen Horowitz",San Francisco CA,
Middesk,middesk.com,Fintech,"Sequoia, Accel",San Francisco CA,
Newfront,newfront.com,Fintech,"Founders Fund",San Francisco CA,
Vouch,vouch.us,Fintech,"Index Ventures",San Francisco CA,
People.ai,people.ai,SaaS,"Andreessen Horowitz, Lightspeed",San Francisco CA,
