"Company","Sector","Backing Tier-One Firm(s)","Verified Employee Count","Source of Employee Count","HQ City, State","Status","Last Verified Date","Data Flag","Notes","HubSpot Company ID","HubSpot Matched Name"
"Anysphere (Cursor)","SaaS","Andreessen Horowitz, Benchmark, Accel","UNVERIFIED","Irreconcilable: jobsbyculture 2026 (50-300 core team); Revelio Dec 2025 (1,794)","San Francisco, CA","Private","2026-08-25","UNVERIFIED","FLAGGED - cannot determine whether above the 100 floor on core-team basis","",""
"Apollo.io","SaaS","Sequoia, Bain Capital Ventures","~800","GetLatka Jul 2026","San Francisco, CA","Private","2026-08-25","FLAGGED","FLAGGED - down from 1.6K in 2024; source range 147-800","",""
"Asana","SaaS","Benchmark, Founders Fund","1,767-1,922","Revelio Mar 2026 (1,922); PitchBook (1,767)","San Francisco, CA","Public (NYSE ASAN)","2026-08-25","FLAGGED","FLAGGED - some sources claim 3,800-4,400","",""
"Attentive","SaaS","Sequoia, IVP","1,447-1,532","Revelio Mar 2026 (1,447); Tracxn Jun 30 2026 (1,532)","New York, NY (Hoboken NJ per some sources)","Private","2026-08-25","FLAGGED","FLAGGED - HQ discrepancy NYC vs Hoboken NJ","",""
"Benchling","SaaS","Benchmark, Andreessen Horowitz, Sequoia","793-811","GetLatka 2026; Unify","San Francisco, CA","Private","2026-08-25","","B2B SaaS sold into life sciences; down from 893 in 2024","",""
"Braze","SaaS","Battery Ventures","1,988-2,300","Company filing Jan 31 2026 (1,988); Revelio Dec 2025 (2,187); LeadIQ Jul 2026 (2.3K)","New York, NY","Public (NASDAQ BRZE)","2026-08-25","","","",""
"Checkr","SaaS","Andreessen Horowitz, Accel, IVP","1,400","Revelio Labs, Mar 2026","San Francisco, CA","Private","2026-08-25","","Other providers range 682-1,725","",""
"CircleCI","SaaS","IVP","323-359","PitchBook/Tracxn Jun 30 2026 (359); EasyLeadz (323)","San Francisco, CA","Private","2026-08-25","","","",""
"Clari","SaaS","Sequoia Capital","614-950","GetLatka 2026 (950); LeadIQ Mar 2026 (725); Tracxn Jun 30 2026 (614)","Sunnyvale, CA","Private","2026-08-25","","Wide source spread","",""
"ClickHouse","SaaS","Index Ventures, Benchmark, Lightspeed","537-623","Tracxn Jun 30 2026 (623); LeadIQ Jul 2026 (611); Revelio Dec 2025 (537)","Redwood City, CA","Private","2026-08-25","","HQ corrected from San Francisco","",""
"Cockroach Labs","SaaS","Benchmark, Index Ventures, Redpoint","715-724","Revelio Mar 2026 (721); PitchBook (724)","New York, NY","Private","2026-08-25","","","",""
"Collibra","SaaS","Index Ventures, Battery Ventures","1,136","Revelio Labs, Mar 2026","New York, NY (dual with Brussels)","Private","2026-08-25","FLAGGED","FLAGGED - company describes itself as HQ in both New York and Brussels","",""
"Cribl","SaaS","Sequoia, IVP, Redpoint","~1,000-1,100","Company press release Jan 2026 (1,000+); Revelio Mar 2026 (1.1K)","San Francisco, CA","Private","2026-08-25","","","104015232960","Cribl"
"dbt Labs","SaaS","Andreessen Horowitz, Sequoia","870-1,160","Crustdata (1,160); LeadIQ Jun 2026 (1.1K); Revelio Dec 2025 (870)","Philadelphia, PA","Private","2026-08-25","","","",""
"Everlaw","SaaS","Andreessen Horowitz","514-537","Built In Apr 13 2026 (537); LeadIQ Feb 2026 (517); Latka (514)","Oakland, CA","Private","2026-08-25","","","",""
"Figma","SaaS","Index, Greylock, Sequoia, Kleiner Perkins","2,045-2,882","Revelio Mar 2026 (2,045); Tracxn Apr 30 2026 (2,877); Crustdata May 2026 (2,882)","San Francisco, CA","Public (NYSE FIG)","2026-08-25","BORDERLINE","BORDERLINE - later 2026 figures exceed 2500 cap","",""
"Fivetran","SaaS","Andreessen Horowitz, General Catalyst","1,800-2,621","Revelio Mar 2026 (2,621); other providers (1,800-1,900)","Oakland, CA","Private","2026-08-25","BORDERLINE","BORDERLINE - Revelio figure exceeds 2500 cap","",""
"Front","SaaS","Sequoia, Battery Ventures","493-543","Revelio Mar 2026 (493); PitchBook (543); Latka (518)","San Francisco, CA","Private","2026-08-25","","","",""
"GitLab","SaaS","Khosla Ventures","2,025-3,400","Post-restructuring Jun 2026 (~2,025); Revelio Mar 2026 (2,689); LeadIQ Jun 2026 (3.4K)","San Francisco, CA (legal)","Public (NASDAQ GTLB)","2026-08-25","BORDERLINE","BORDERLINE - Jun 2026 layoff of ~350 (14%); all-remote, no physical offices","",""
"Glean","SaaS","Sequoia, Kleiner Perkins, Lightspeed, General Catalyst, IVP","1,648-1,791","Revelio Mar 2026 (1,791); Tracxn May 31 2026 (1,648)","Palo Alto, CA","Private","2026-08-25","","","",""
"Gong","SaaS","Sequoia, Battery Ventures","2,101-2,633","Revelio Mar 2026 (2,101); LeadIQ Apr 2026 (2.5K); other (2,633)","San Francisco, CA","Private","2026-08-25","BORDERLINE","BORDERLINE - upper estimates exceed 2500 cap","",""
"Grafana Labs","SaaS","Lightspeed, Sequoia","1,400-1,800","LeadIQ Apr 2026 (1.8K); other providers (1,400)","New York, NY (registered)","Private","2026-08-25","FLAGGED","FLAGGED - fully remote since 2014, no physical HQ; NY is registered address only","",""
"Guild","SaaS","General Catalyst, Bessemer, Redpoint","900-1,227","PitchBook (1,227); RocketReach (1,223); Wikipedia (~900)","Denver, CO","Private","2026-08-25","","Wide spread","",""
"Handshake","SaaS","Kleiner Perkins","UNVERIFIED","Irreconcilable: PitchBook (887) vs LeadIQ May 2026 (7.9K), ContactOut (9,235), RocketReach (10,947)","San Francisco, CA","Private","2026-08-25","UNVERIFIED","FLAGGED - 12x spread; acquired Uplimit 2026-06-30 which may distort counts","",""
"Harness","SaaS","IVP","1,200-1,840","PitchBook (1,200); Tracxn Jun 30 2026 (1,806); RocketReach (1,840)","San Francisco, CA","Private","2026-08-25","","Wide spread; Latka says down from 1.6K in 2025","",""
"Harvey","SaaS","Sequoia, Kleiner Perkins","1,261-1,561","Revelio Mar 2026 (1,261); Tracxn Jun 30 2026 (1,561)","San Francisco, CA","Private","2026-08-25","","256% workforce growth since 2023","",""
"Hex","SaaS","Andreessen Horowitz, Sequoia, Redpoint","162-272","Tracxn Jun 30 2026 (272); PitchBook (192); Latka (162)","San Francisco, CA","Private","2026-08-25","","","63809435618","Hex"
"Hightouch","SaaS","Andreessen Horowitz","380-579","Crustdata Jul 1 2026 (579); LeadIQ May 2026 (533); PitchBook Jun 10 2026 (380)","San Francisco, CA","Private","2026-08-25","","","",""
"Honeycomb","SaaS","Insight Partners","292-303","Tracxn Jun 30 2026 (292); PitchBook (300); LeadIQ Apr 2026 (303)","San Francisco, CA","Private","2026-08-25","","","",""
"Hugging Face","SaaS","Sequoia, Andreessen Horowitz","677-856","Revelio Mar 2026 (677); Tracxn Jun 30 2026 (856)","Brooklyn, NY","Private","2026-08-25","","","",""
"Instabase","SaaS","Greylock, NEA, Index, Andreessen Horowitz","151-208","PitchBook (208); LeadIQ Apr 2026 (178); LeadIQ Jun 2026 (165); Tracxn (151)","San Francisco, CA","Private","2026-08-25","","","",""
"Intercom (Fin)","SaaS","Index, Kleiner Perkins, Bessemer","905-1,300","Revelio Mar 2026 (905); Tracxn Jun 30 2026 (1,102); LeadIQ Jul 2026 (1.3K)","San Francisco, CA","Private","2026-08-25","","REBRANDED to Fin in May 2026","",""
"Ironclad","SaaS","Accel, Sequoia","763-863","Crustdata (863); LeadIQ Jun 2026 (817); Revelio Dec 2025 (763)","San Francisco, CA","Private","2026-08-25","","","",""
"Iterable","SaaS","Index Ventures","728-853","LeadIQ Mar 2026 (853); PitchBook (848); Revelio Dec 2025 (728)","San Francisco, CA","Private","2026-08-25","","","",""
"Jasper","SaaS","Insight Partners, Bessemer, IVP","440-1,000","GetLatka 2026 (~1K); Revelio Dec 2025 (719); PitchBook (440)","Austin, TX","Private","2026-08-25","","Some sources say Rollingwood TX (Austin metro)","",""
"JFrog","SaaS","Battery Ventures, Insight Partners","1,861","Revelio Labs, Mar 2026","Sunnyvale, CA","Public (NASDAQ FROG)","2026-08-25","","Israel-founded; US HQ Sunnyvale","90725081046","JFrog"
"Justworks","SaaS","Index Ventures, Redpoint","1,600-1,640","Tracxn Jun 30 2026 (1,622); Revelio Dec 2025 (1,640)","New York, NY","Private","2026-08-25","","","",""
"Lattice","SaaS","Khosla, Index Ventures, Founders Fund","532-574","Tracxn Jun 30 2026 (532); LeadIQ Apr 2026 (537); Latka (574)","San Francisco, CA","Private","2026-08-25","","","",""
"LaunchDarkly","SaaS","Andreessen Horowitz, Redpoint, Bessemer","581-653","Tracxn Jun 30 2026 (648); LeadIQ May 2026 (638)","Oakland, CA","Private","2026-08-25","","","",""
"Linear","SaaS","Accel, Sequoia","118-271","Tracxn Jun 30 2026 (271); LeadIQ Jul 2026 (235); Latka (118)","San Francisco, CA","Private","2026-08-25","","Wide spread; Latka figure near the 100 floor","",""
"Mixpanel","SaaS","Andreessen Horowitz, Sequoia, Lightspeed","587-615","Revelio Mar 2026 (587); LeadIQ Apr 2026 (615)","San Francisco, CA","Private","2026-08-25","","","",""
"Monte Carlo","SaaS","Accel, Redpoint, IVP","165-500","PitchBook (165); Built In (173); Gartner May 2026 (201-500)","San Francisco, CA","Private","2026-08-25","","Reported ~30% workforce reduction; wide spread","",""
"Netlify","SaaS","Andreessen Horowitz, Kleiner Perkins, Bessemer","182-225","Revelio Mar 2026 (225); Tracxn Jun 30 2026 (189)","San Francisco, CA","Private","2026-08-25","","Workforce down 38.4% since 2023","210283332571","Netlify"
"Notion","SaaS","Index Ventures, Sequoia","UNVERIFIED","Irreconcilable: Revelio Mar 2026 (2,969); jobsbyculture 2026 (~4,800); others (~1,000)","San Francisco, CA","Private","2026-08-25","UNVERIFIED","FLAGGED - spread straddles the 2500 cap, eligibility undetermined","",""
"OneTrust","SaaS","Insight Partners","2,487-2,493","Tracxn May 31 2026 (2,487); Revelio Dec 2025 (2,493)","Atlanta, GA","Private","2026-08-25","BORDERLINE","BORDERLINE - 13 under the 2500 cap","",""
"Pendo","SaaS","Battery Ventures","930-1,000","Revelio Dec 2025 (930); LeadIQ Jun 2026 (~1K)","Raleigh, NC","Private","2026-08-25","","Cut ~90 jobs (10% of staff) Apr 2026","91669415882","Pendo"
"People.ai","SaaS","Andreessen Horowitz, Lightspeed","215-216","Tracxn Mar 31 2026 (216); Latka (215)","San Francisco, CA","Private","2026-08-25","","","",""
"Pinecone","SaaS","Andreessen Horowitz","~128","GetLatka 2026","New York, NY","Private","2026-08-25","","Some sources list San Francisco","",""
"PlanetScale","SaaS","Andreessen Horowitz, Insight Partners","94-105","LeadIQ Jun 2026 (94); PitchBook (105)","San Francisco, CA","Private","2026-08-25","BORDERLINE","BORDERLINE - straddles the 100 floor; latest figure is BELOW it. HQ disputed SF vs Mountain View","",""
"Postman","SaaS","Insight Partners, Battery Ventures","828-2,560","Company PR Jul 2025 (828); Revelio Dec 2025 (2,560)","San Francisco, CA","Private","2026-08-25","FLAGGED","FLAGGED - implausible 3x jump in 5 months; both figures under cap","",""
"Retool","SaaS","Sequoia, Andreessen Horowitz","415-471","PitchBook (471); LeadIQ Jul 2026 (416); Tracxn May 31 2026 (415)","San Francisco, CA","Private","2026-08-25","","","",""
"Scale AI","SaaS","Accel, Index Ventures, Founders Fund","~1,200","jobsbyculture 2026; CNBC/Sacra","San Francisco, CA","Private","2026-08-25","FLAGGED","FLAGGED - Meta holds 49% non-voting stake (Jun 2025); operates independently; large contractor network excluded from FTE count","",""
"Seismic","SaaS","Insight Partners","1,318-1,500","Crustdata Aug 2026 (1,318); Forbes Aug 10 2026 (1,347); PitchBook (1,500)","San Diego, CA","Private","2026-08-25","","","",""
"Sentry","SaaS","Accel, NEA","423-450","LeadIQ Jul 2026 (450); PitchBook (423)","San Francisco, CA","Private","2026-08-25","","Legal name Functional Software Inc","",""
"SingleStore","SaaS","Accel, Khosla, Insight Partners","543-600","Revelio Dec 2025 (600); LeadIQ Jun 2026 (549); Tracxn Jun 30 2026 (543)","San Francisco, CA","Private","2026-08-25","","","",""
"Sourcegraph","SaaS","Andreessen Horowitz, Sequoia, Redpoint","146-184","Latka 2026 (184); LeadIQ May 2026 (146)","San Francisco, CA","Private","2026-08-25","","Declining headcount","",""
"Starburst","SaaS","Index Ventures, Andreessen Horowitz","487-527","Revelio Mar 2026 (487); ZoomInfo (527)","Boston, MA","Private","2026-08-25","","Peaked at 595 in 2023","",""
"Supabase","SaaS","Accel","240-386","Revelio Mar 2026 (386); LeadIQ Jul 2026 (358); GetLatka (240)","San Francisco, CA (disputed - Singapore)","Private","2026-08-25","FLAGGED","FLAGGED - several sources list Singapore as official HQ; US HQ status uncertain","",""
"Superhuman Platform (formerly Grammarly)","SaaS","General Catalyst, IVP","1,764","Revelio Labs 2026","San Francisco, CA","Private","2026-08-25","FLAGGED","MAJOR FLAG - Grammarly acquired Coda (Jan 2025) and Superhuman (Jul 2025); parent rebranded to Superhuman Platform Inc. Headcount -29.6% YoY","",""
"Temporal","SaaS","Sequoia, Index Ventures, IVP","368-466","PitchBook (466); LeadIQ Mar 2026 (431); Latka (368)","Bellevue, WA","Private","2026-08-25","","","",""
"ThoughtSpot","SaaS","Lightspeed, Khosla, General Catalyst","500-1,700","LeadIQ Mar 2026 (~1.7K); PitchBook (500)","Mountain View, CA","Private","2026-08-25","FLAGGED","FLAGGED - 3x spread between providers","63798557660","Thoughtspot"
"Vercel","SaaS","Accel","847-894","Revelio Mar 2026 (847); LeadIQ May 2026 (894)","San Francisco, CA","Private","2026-08-25","","","63951562711","Vercel"
"Webflow","SaaS","Accel","1,649-1,741","Tracxn May 31 2026 (1,710); Revelio Dec 2025 (1,649)","San Francisco, CA","Private","2026-08-25","","","",""
"Workato","SaaS","Battery, Insight, Redpoint","1,370-1,517","Revelio Mar 2026 (1,517); Tracxn Jun 30 2026 (1,435); PitchBook (1,370)","Mountain View, CA","Private","2026-08-25","","Some sources say Palo Alto","",""
"Writer","SaaS","Insight Partners","400-2,300","GetLatka 2026 (2.3K); Tracxn Jun 30 2026 (602); PitchBook (400)","San Francisco, CA","Private","2026-08-25","FLAGGED","FLAGGED - ~6x spread across providers","",""
"Yugabyte","SaaS","Lightspeed Venture Partners","398-485","Tracxn Jun 30 2026 (485); LeadIQ Apr 2026 (439); PitchBook (398)","Sunnyvale, CA","Private","2026-08-25","","","",""
"Zapier","SaaS","Sequoia, Bessemer","1,215-1,482","Revelio Mar 2026 (1,215); Tracxn Jun 30 2026 (1,482)","San Francisco, CA (registered)","Private","2026-08-25","FLAGGED","FLAGGED - fully remote, no traditional HQ","",""
"Abnormal AI (Abnormal Security)","Security","Greylock, Insight Partners","~1,400-1,500","Revelio Labs / company statement, Jun 2026","San Francisco, CA","Private","2026-08-25","","Renamed Abnormal AI; some records list a Las Vegas NV address","",""
"Axonius","Security","Bessemer, Lightspeed, Accel","774-944","Revelio Labs Dec 2025 (944); LeadIQ Mar 2026 (774)","New York, NY","Private","2026-08-25","","Source spread ~170","",""
"BigID","Security","Bessemer, Insight Partners","625-709","Revelio Mar 2026 (639); Tracxn Jun 2026 (625); LeadIQ Feb 2026 (709)","New York, NY","Private","2026-08-25","","","",""
"Chainguard","Security","Sequoia, Kleiner Perkins, IVP, Redpoint","622-705","Crustdata Jun 2026 (705); Revelio Dec 2025 (688)","Kirkland, WA","Private","2026-08-25","","","",""
"Claroty","Security","Bessemer Venture Partners","770-857","Revelio Labs, Mar 2026 (770); PitchBook (857)","New York, NY","Private","2026-08-25","","","",""
"Corelight","Security","Accel, Insight Partners, General Catalyst","456-477","Revelio Labs Mar 2026 (456); LeadIQ Jul 2026 (477)","San Francisco, CA","Private","2026-08-25","","","",""
"Cybereason","Security","Lightspeed Venture Partners","455-564","Revelio Mar 2026 (564); Jun 30 2026 (455)","Boston, MA (disputed - La Jolla CA)","Private","2026-08-25","","HQ CONFLICT across sources; headcount declining","",""
"Cyera","Security","Sequoia, Accel","1,300-1,500","PitchBook (1,500); Revelio Dec 2025 (1,477); LeadIQ Mar 2026 (1.3K)","New York, NY","Private","2026-08-25","","85.9% YoY growth","",""
"Expel","Security","Index Ventures, Battery Ventures, NEA","481-484","Tracxn/PitchBook, Apr 30 2026","Herndon, VA","Private","2026-08-25","","Backing confirmed via Tracxn investor list","",""
"HackerOne","Security","Benchmark, NEA","UNVERIFIED","Sources irreconcilable: Revelio Mar 2026 (3,696) vs LeadIQ May 2026 (6,897)","San Francisco, CA","Private","2026-08-25","UNVERIFIED","FLAGGED - figures likely count researcher community not employees","",""
"Huntress","Security","Kleiner Perkins","950-986","PitchBook Aug 17 2026 (986); Revelio Jun 2026 (950)","Columbia, MD","Private","2026-08-25","","HQ corrected from Ellicott City","",""
"Illumio","Security","Andreessen Horowitz, General Catalyst, Accel","891","Revelio Labs, Mar 2026","Sunnyvale, CA","Private","2026-08-25","","","",""
"Island","Security","Sequoia, Insight Partners","1,263","PitchBook, Jun 2026","Dallas, TX","Private","2026-08-25","","Older sources say 500","",""
"Orca Security","Security","Redpoint Ventures","495","LeadIQ/Tracxn, Jan 31 2026","Portland, OR","Private","2026-08-25","","Israel-founded; US HQ Portland","",""
"Salt Security","Security","Sequoia Capital","199-208","LeadIQ Jun 2026 (208); PitchBook (199)","Palo Alto, CA","Private","2026-08-25","","","",""
"Semgrep","Security","Redpoint, Sequoia","253-272","Tracxn Jun 30 2026 (272); Crustdata (269); Revelio Mar 2026 (253)","San Francisco, CA","Private","2026-08-25","","","",""
"Snyk","Security","Accel, Greylock","1,550-1,870","Crustdata Aug 2026 (1,870); PitchBook (1,550)","Boston, MA","Private","2026-08-25","","Source spread ~300","",""
"Sysdig","Security","Accel, Insight Partners","723","Revelio Labs, Mar 2026","San Francisco, CA","Private","2026-08-25","","Headcount down 28.8% since 2023","",""
"Tanium","Security","Andreessen Horowitz, IVP","~2,300","LeadIQ/ZoomInfo, Jun 2026","Kirkland, WA","Private","2026-08-25","","Near upper bound of range","",""
"Teleport","Security","Kleiner Perkins, Bessemer","194-230","Wikipedia (230); PitchBook (194)","Oakland, CA","Private","2026-08-25","","","",""
"Vanta","Security","Sequoia Capital","1,884-1,917","Tracxn May 31 2026 (1,884); PitchBook (1,917)","San Francisco, CA","Private","2026-08-25","","Sequoia confirmed in Jul 2025 $150M Series D; GetLatka outlier says ~1,000","",""
