company|sector|firms|employees|source|hq|status|verified|note
dbt Labs|SaaS|Andreessen Horowitz, Sequoia|870-1,160|Crustdata (1,160); LeadIQ Jun 2026 (1.1K); Revelio Dec 2025 (870)|Philadelphia, PA|Private|2026-08-25|
Monte Carlo|SaaS|Accel, Redpoint, IVP|165-500|PitchBook (165); Built In (173); Gartner May 2026 (201-500)|San Francisco, CA|Private|2026-08-25|Reported ~30% workforce reduction; wide spread
Grafana Labs|SaaS|Lightspeed, Sequoia|1,400-1,800|LeadIQ Apr 2026 (1.8K); other providers (1,400)|New York, NY (registered)|Private|2026-08-25|FLAGGED - fully remote since 2014, no physical HQ; NY is registered address only
Cockroach Labs|SaaS|Benchmark, Index Ventures, Redpoint|715-724|Revelio Mar 2026 (721); PitchBook (724)|New York, NY|Private|2026-08-25|
Postman|SaaS|Insight Partners, Battery Ventures|828-2,560|Company PR Jul 2025 (828); Revelio Dec 2025 (2,560)|San Francisco, CA|Private|2026-08-25|FLAGGED - implausible 3x jump in 5 months; both figures under cap
6sense|SaaS|Insight Partners|1,360-1,601|Revelio Mar 2026 (1,360); Tracxn May 31 2026 (1,601)|San Francisco, CA|Private|2026-08-25|Workforce down 14.4% since 2023
Seismic|SaaS|Insight Partners|1,318-1,500|Crustdata Aug 2026 (1,318); Forbes Aug 10 2026 (1,347); PitchBook (1,500)|San Diego, CA|Private|2026-08-25|
Vercel|SaaS|Accel|847-894|Revelio Mar 2026 (847); LeadIQ May 2026 (894)|San Francisco, CA|Private|2026-08-25|
Retool|SaaS|Sequoia, Andreessen Horowitz|415-471|PitchBook (471); LeadIQ Jul 2026 (416); Tracxn May 31 2026 (415)|San Francisco, CA|Private|2026-08-25|
LaunchDarkly|SaaS|Andreessen Horowitz, Redpoint, Bessemer|581-653|Tracxn Jun 30 2026 (648); LeadIQ May 2026 (638)|Oakland, CA|Private|2026-08-25|
Harness|SaaS|IVP|1,200-1,840|PitchBook (1,200); Tracxn Jun 30 2026 (1,806); RocketReach (1,840)|San Francisco, CA|Private|2026-08-25|Wide spread; Latka says down from 1.6K in 2025
ClickHouse|SaaS|Index Ventures, Benchmark, Lightspeed|537-623|Tracxn Jun 30 2026 (623); LeadIQ Jul 2026 (611); Revelio Dec 2025 (537)|Redwood City, CA|Private|2026-08-25|HQ corrected from San Francisco
Scale AI|SaaS|Accel, Index Ventures, Founders Fund|~1,200|jobsbyculture 2026; CNBC/Sacra|San Francisco, CA|Private|2026-08-25|FLAGGED - Meta holds 49% non-voting stake (Jun 2025); operates independently; large contractor network excluded from FTE count
Glean|SaaS|Sequoia, Kleiner Perkins, Lightspeed, General Catalyst, IVP|1,648-1,791|Revelio Mar 2026 (1,791); Tracxn May 31 2026 (1,648)|Palo Alto, CA|Private|2026-08-25|
Temporal|SaaS|Sequoia, Index Ventures, IVP|368-466|PitchBook (466); LeadIQ Mar 2026 (431); Latka (368)|Bellevue, WA|Private|2026-08-25|
Starburst|SaaS|Index Ventures, Andreessen Horowitz|487-527|Revelio Mar 2026 (487); ZoomInfo (527)|Boston, MA|Private|2026-08-25|Peaked at 595 in 2023
Sourcegraph|SaaS|Andreessen Horowitz, Sequoia, Redpoint|146-184|Latka 2026 (184); LeadIQ May 2026 (146)|San Francisco, CA|Private|2026-08-25|Declining headcount
Sentry|SaaS|Accel, NEA|423-450|LeadIQ Jul 2026 (450); PitchBook (423)|San Francisco, CA|Private|2026-08-25|Legal name Functional Software Inc
Netlify|SaaS|Andreessen Horowitz, Kleiner Perkins, Bessemer|182-225|Revelio Mar 2026 (225); Tracxn Jun 30 2026 (189)|San Francisco, CA|Private|2026-08-25|Workforce down 38.4% since 2023
Ramp|Fintech|Founders Fund, Andreessen Horowitz, Khosla, General Catalyst|2,455-2,555|Revelio Mar 2026 (2,455); Tracxn Jun 30 2026 (2,555)|New York, NY|Private|2026-08-25|BORDERLINE - crossed 2500 cap between Mar and Jun 2026
Brex|Fintech|Kleiner Perkins|1,705-1,800|Revelio Mar 2026 (1.8K); PitchBook (1,705)|San Francisco, CA|Private|2026-08-25|Wikipedia notes 2021 headquarterless move; 2026 sources list SF
Plaid|Fintech|Andreessen Horowitz, Index, Kleiner Perkins, NEA|1,607|Revelio Labs, Mar 2026|San Francisco, CA|Private|2026-08-25|Sources agree closely
Carta|Fintech|Andreessen Horowitz, Union Square Ventures, Lightspeed|~2,000|GetLatka 2026; ZoomInfo|San Francisco, CA|Private|2026-08-25|Only USV portfolio company confirmed in range
Mercury|Fintech|Andreessen Horowitz|1,582|Tracxn, Apr 30 2026|San Francisco, CA|Private|2026-08-25|
Checkr|SaaS|Andreessen Horowitz, Accel, IVP|1,400|Revelio Labs, Mar 2026|San Francisco, CA|Private|2026-08-25|Other providers range 682-1,725
Socure|Fintech|Accel|586-594|Revelio Mar 2026 (586); Tracxn Jun 30 2026 (594)|Incline Village, NV|Private|2026-08-25|
Modern Treasury|Fintech|Andreessen Horowitz, Benchmark|122-206|PitchBook (122); Tracxn Jun 30 2026 (122); LeadIQ Apr 2026 (131); Websets (180-206)|San Francisco, CA|Private|2026-08-25|Near the 100 floor
Alloy|Fintech|Lightspeed, Bessemer|415-418|Tracxn Jun 30 2026 (418); LeadIQ Jun 2026 (415)|New York, NY|Private|2026-08-25|
Persona|Fintech|Index Ventures, Founders Fund|595-709|Tracxn Jun 30 2026 (709); LeadIQ May 2026 (689); Latka (595)|San Francisco, CA|Private|2026-08-25|
Forter|Fintech|Bessemer, Sequoia|706-708|Revelio/LeadIQ Apr 2026|New York, NY (dual with Tel Aviv)|Private|2026-08-25|FLAGGED - dual HQ; several sources list Tel Aviv as primary
Sift|Fintech|Insight Partners, Union Square Ventures|273-278|LeadIQ May 2026 (278); PitchBook (273)|San Francisco, CA|Private|2026-08-25|Second USV portfolio company in range
MX Technologies|Fintech|Battery Ventures, NEA|937-959|Revelio Mar 2026 (943); Tracxn Mar 31 2026 (959)|Lehi, UT|Private|2026-08-25|
Intercom (Fin)|SaaS|Index, Kleiner Perkins, Bessemer|905-1,300|Revelio Mar 2026 (905); Tracxn Jun 30 2026 (1,102); LeadIQ Jul 2026 (1.3K)|San Francisco, CA|Private|2026-08-25|REBRANDED to Fin in May 2026
Attentive|SaaS|Sequoia, IVP|1,447-1,532|Revelio Mar 2026 (1,447); Tracxn Jun 30 2026 (1,532)|New York, NY (Hoboken NJ per some sources)|Private|2026-08-25|FLAGGED - HQ discrepancy NYC vs Hoboken NJ
Webflow|SaaS|Accel|1,649-1,741|Tracxn May 31 2026 (1,710); Revelio Dec 2025 (1,649)|San Francisco, CA|Private|2026-08-25|
OneTrust|SaaS|Insight Partners|2,487-2,493|Tracxn May 31 2026 (2,487); Revelio Dec 2025 (2,493)|Atlanta, GA|Private|2026-08-25|BORDERLINE - 13 under the 2500 cap
Benchling|SaaS|Benchmark, Andreessen Horowitz, Sequoia|793-811|GetLatka 2026; Unify|San Francisco, CA|Private|2026-08-25|B2B SaaS sold into life sciences; down from 893 in 2024
Abridge|SaaS|Lightspeed, Redpoint, IVP, Bessemer, General Catalyst, Khosla|450-635|Crustdata (635); Tracxn May 31 2026 (605); Revelio Dec 2025 (539); PitchBook (450)|Pittsburgh, PA|Private|2026-08-25|B2B SaaS sold into healthcare
Workato|SaaS|Battery, Insight, Redpoint|1,370-1,517|Revelio Mar 2026 (1,517); Tracxn Jun 30 2026 (1,435); PitchBook (1,370)|Mountain View, CA|Private|2026-08-25|Some sources say Palo Alto
Zapier|SaaS|Sequoia, Bessemer|1,215-1,482|Revelio Mar 2026 (1,215); Tracxn Jun 30 2026 (1,482)|San Francisco, CA (registered)|Private|2026-08-25|FLAGGED - fully remote, no traditional HQ
Pendo|SaaS|Battery Ventures|930-1,000|Revelio Dec 2025 (930); LeadIQ Jun 2026 (~1K)|Raleigh, NC|Private|2026-08-25|Cut ~90 jobs (10% of staff) Apr 2026
Ironclad|SaaS|Accel, Sequoia|763-863|Crustdata (863); LeadIQ Jun 2026 (817); Revelio Dec 2025 (763)|San Francisco, CA|Private|2026-08-25|
Harvey|SaaS|Sequoia, Kleiner Perkins|1,261-1,561|Revelio Mar 2026 (1,261); Tracxn Jun 30 2026 (1,561)|San Francisco, CA|Private|2026-08-25|256% workforce growth since 2023
Lattice|SaaS|Khosla, Index Ventures, Founders Fund|532-574|Tracxn Jun 30 2026 (532); LeadIQ Apr 2026 (537); Latka (574)|San Francisco, CA|Private|2026-08-25|
Justworks|SaaS|Index Ventures, Redpoint|1,600-1,640|Tracxn Jun 30 2026 (1,622); Revelio Dec 2025 (1,640)|New York, NY|Private|2026-08-25|
Guild|SaaS|General Catalyst, Bessemer, Redpoint|900-1,227|PitchBook (1,227); RocketReach (1,223); Wikipedia (~900)|Denver, CO|Private|2026-08-25|Wide spread
Instabase|SaaS|Greylock, NEA, Index, Andreessen Horowitz|151-208|PitchBook (208); LeadIQ Apr 2026 (178); LeadIQ Jun 2026 (165); Tracxn (151)|San Francisco, CA|Private|2026-08-25|
Amplitude|SaaS|Benchmark, IVP, Sequoia, Battery|859-999|Revelio Mar 2026 (859); LeadIQ Apr 2026 (984); Tracxn Jun 30 2026 (999)|San Francisco, CA|Public (NASDAQ AMPL)|2026-08-25|
Braze|SaaS|Battery Ventures|1,988-2,300|Company filing Jan 31 2026 (1,988); Revelio Dec 2025 (2,187); LeadIQ Jul 2026 (2.3K)|New York, NY|Public (NASDAQ BRZE)|2026-08-25|
Figma|SaaS|Index, Greylock, Sequoia, Kleiner Perkins|2,045-2,882|Revelio Mar 2026 (2,045); Tracxn Apr 30 2026 (2,877); Crustdata May 2026 (2,882)|San Francisco, CA|Public (NYSE FIG)|2026-08-25|BORDERLINE - later 2026 figures exceed 2500 cap
GitLab|SaaS|Khosla Ventures|2,025-3,400|Post-restructuring Jun 2026 (~2,025); Revelio Mar 2026 (2,689); LeadIQ Jun 2026 (3.4K)|San Francisco, CA (legal)|Public (NASDAQ GTLB)|2026-08-25|BORDERLINE - Jun 2026 layoff of ~350 (14%); all-remote, no physical offices
Apollo.io|SaaS|Sequoia, Bain Capital Ventures|~800|GetLatka Jul 2026|San Francisco, CA|Private|2026-08-25|FLAGGED - down from 1.6K in 2024; source range 147-800
Asana|SaaS|Benchmark, Founders Fund|1,767-1,922|Revelio Mar 2026 (1,922); PitchBook (1,767)|San Francisco, CA|Public (NYSE ASAN)|2026-08-25|FLAGGED - some sources claim 3,800-4,400
SingleStore|SaaS|Accel, Khosla, Insight Partners|543-600|Revelio Dec 2025 (600); LeadIQ Jun 2026 (549); Tracxn Jun 30 2026 (543)|San Francisco, CA|Private|2026-08-25|
ThoughtSpot|SaaS|Lightspeed, Khosla, General Catalyst|500-1,700|LeadIQ Mar 2026 (~1.7K); PitchBook (500)|Mountain View, CA|Private|2026-08-25|FLAGGED - 3x spread between providers
Collibra|SaaS|Index Ventures, Battery Ventures|1,136|Revelio Labs, Mar 2026|New York, NY (dual with Brussels)|Private|2026-08-25|FLAGGED - company describes itself as HQ in both New York and Brussels
Hugging Face|SaaS|Sequoia, Andreessen Horowitz|677-856|Revelio Mar 2026 (677); Tracxn Jun 30 2026 (856)|Brooklyn, NY|Private|2026-08-25|
Writer|SaaS|Insight Partners|400-2,300|GetLatka 2026 (2.3K); Tracxn Jun 30 2026 (602); PitchBook (400)|San Francisco, CA|Private|2026-08-25|FLAGGED - ~6x spread across providers
Superhuman Platform (formerly Grammarly)|SaaS|General Catalyst, IVP|1,764|Revelio Labs 2026|San Francisco, CA|Private|2026-08-25|MAJOR FLAG - Grammarly acquired Coda (Jan 2025) and Superhuman (Jul 2025); parent rebranded to Superhuman Platform Inc. Headcount -29.6% YoY
Anysphere (Cursor)|SaaS|Andreessen Horowitz, Benchmark, Accel|UNVERIFIED|Irreconcilable: jobsbyculture 2026 (50-300 core team); Revelio Dec 2025 (1,794)|San Francisco, CA|Private|2026-08-25|FLAGGED - cannot determine whether above the 100 floor on core-team basis
Supabase|SaaS|Accel|240-386|Revelio Mar 2026 (386); LeadIQ Jul 2026 (358); GetLatka (240)|San Francisco, CA (disputed - Singapore)|Private|2026-08-25|FLAGGED - several sources list Singapore as official HQ; US HQ status uncertain
CircleCI|SaaS|IVP|323-359|PitchBook/Tracxn Jun 30 2026 (359); EasyLeadz (323)|San Francisco, CA|Private|2026-08-25|
Mixpanel|SaaS|Andreessen Horowitz, Sequoia, Lightspeed|587-615|Revelio Mar 2026 (587); LeadIQ Apr 2026 (615)|San Francisco, CA|Private|2026-08-25|
Front|SaaS|Sequoia, Battery Ventures|493-543|Revelio Mar 2026 (493); PitchBook (543); Latka (518)|San Francisco, CA|Private|2026-08-25|
Everlaw|SaaS|Andreessen Horowitz|514-537|Built In Apr 13 2026 (537); LeadIQ Feb 2026 (517); Latka (514)|Oakland, CA|Private|2026-08-25|
JFrog|SaaS|Battery Ventures, Insight Partners|1,861|Revelio Labs, Mar 2026|Sunnyvale, CA|Public (NASDAQ FROG)|2026-08-25|Israel-founded; US HQ Sunnyvale
Handshake|SaaS|Kleiner Perkins|UNVERIFIED|Irreconcilable: PitchBook (887) vs LeadIQ May 2026 (7.9K), ContactOut (9,235), RocketReach (10,947)|San Francisco, CA|Private|2026-08-25|FLAGGED - 12x spread; acquired Uplimit 2026-06-30 which may distort counts
Lithic|Fintech|Index Ventures, Bessemer|188-200|Tracxn Jun 30 2026 (200); LeadIQ Jun 2026 (193); LeadIQ Mar 2026 (188)|New York, NY|Private|2026-08-25|
Signifyd|Fintech|IVP|498-532|PitchBook (532); Revelio Mar 2026 (513); LeadIQ Apr 2026 (498)|San Jose, CA|Private|2026-08-25|
Middesk|Fintech|Sequoia, Accel|121-156|Tracxn Jun 30 2026 (156); LeadIQ Mar 2026 (145); Unify (121)|San Francisco, CA|Private|2026-08-25|Near the 100 floor
Newfront|Fintech|Founders Fund|623-756|Revelio Dec 2025 (756); LeadIQ Feb 2026 (667); PitchBook (623)|San Francisco, CA|Private|2026-08-25|
Hex|SaaS|Andreessen Horowitz, Sequoia, Redpoint|162-272|Tracxn Jun 30 2026 (272); PitchBook (192); Latka (162)|San Francisco, CA|Private|2026-08-25|
Linear|SaaS|Accel, Sequoia|118-271|Tracxn Jun 30 2026 (271); LeadIQ Jul 2026 (235); Latka (118)|San Francisco, CA|Private|2026-08-25|Wide spread; Latka figure near the 100 floor
Hightouch|SaaS|Andreessen Horowitz|380-579|Crustdata Jul 1 2026 (579); LeadIQ May 2026 (533); PitchBook Jun 10 2026 (380)|San Francisco, CA|Private|2026-08-25|
Pinecone|SaaS|Andreessen Horowitz|~128|GetLatka 2026|New York, NY|Private|2026-08-25|Some sources list San Francisco
Honeycomb|SaaS|Insight Partners|292-303|Tracxn Jun 30 2026 (292); PitchBook (300); LeadIQ Apr 2026 (303)|San Francisco, CA|Private|2026-08-25|
Airbyte|SaaS|Accel, Benchmark|123-154|Latka (154); LeadIQ Apr 2026 (131); Revelio Mar 2026 (130)|San Francisco, CA|Private|2026-08-25|Near the 100 floor
Iterable|SaaS|Index Ventures|728-853|LeadIQ Mar 2026 (853); PitchBook (848); Revelio Dec 2025 (728)|San Francisco, CA|Private|2026-08-25|
Altruist|Fintech|Insight Partners|312-905|Tracxn Jun 1 2026 (905); Revelio Dec 2025 (695); PitchBook (312)|Culver City, CA|Private|2026-08-25|Wide spread; HQ corrected from Los Angeles
Jasper|SaaS|Insight Partners, Bessemer, IVP|440-1,000|GetLatka 2026 (~1K); Revelio Dec 2025 (719); PitchBook (440)|Austin, TX|Private|2026-08-25|Some sources say Rollingwood TX (Austin metro)
Sardine|Fintech|Andreessen Horowitz|325-343|Tracxn Jun 30 2026 (343); PitchBook (325)|San Francisco, CA (disputed - Miami FL)|Private|2026-08-25|FLAGGED - HQ conflict SF vs Miami; both US
Yugabyte|SaaS|Lightspeed Venture Partners|398-485|Tracxn Jun 30 2026 (485); LeadIQ Apr 2026 (439); PitchBook (398)|Sunnyvale, CA|Private|2026-08-25|
PlanetScale|SaaS|Andreessen Horowitz, Insight Partners|94-105|LeadIQ Jun 2026 (94); PitchBook (105)|San Francisco, CA|Private|2026-08-25|BORDERLINE - straddles the 100 floor; latest figure is BELOW it. HQ disputed SF vs Mountain View
Unit21|Fintech|Andreessen Horowitz|116-120|Tracxn May 31 2026 (120); PitchBook (116)|San Francisco, CA|Private|2026-08-25|Near the 100 floor
People.ai|SaaS|Andreessen Horowitz, Lightspeed|215-216|Tracxn Mar 31 2026 (216); Latka (215)|San Francisco, CA|Private|2026-08-25|
Vouch|Fintech|Index Ventures|145|Tracxn, Feb 28 2026|San Francisco, CA|Private|2026-08-25|
